,state_change_user_id,state_change_date,state,id_number,id_type,type,name,complete_name,person_ptr_id,legal_type
0,1,2022-04-06 18:31:43.696509+00:00,1,800219204,1,1,Coragro,Coragro S.A.,800219204,0
1,1,2022-04-06 18:31:43.758784+00:00,1,901012053,1,1,Andiplast Envases,Andiplast Envases S.A.S.,901012053,1
2,1,2022-04-22 15:52:43.087574+00:00,1,900582366,1,1,Maquinpro de Colombia,Maquinpro de Colombia S.A.S.,900582366,1
3,1,2022-04-19 19:30:39.868797+00:00,1,900245885,1,1,Mulplast,Mulplast S.A.S.,900245885,1
4,1,2022-04-21 20:06:48.904467+00:00,1,900961321,1,1,Cocoambiental,Cocoambiental S.A.S.,900961321,1
5,1,2022-04-21 19:54:58.212127+00:00,1,805001597,1,1,Innovaciones Plasticas,Innovaciones Plasticas S.A.S.,805001597,1
6,1,2022-04-28 17:01:42.280926+00:00,1,900575356,1,1,QW Health de Colombia,QW Health de Colombia S.A.S.,900575356,1
7,1,2022-04-19 19:39:46.972391+00:00,1,890904130,1,1,Alimentos Carnicos,Alimentos Carnicos S.A.S.,890904130,1
8,1,2022-04-06 18:31:43.899035+00:00,1,830134857,1,1,Prodeplasticos,Prodeplasticos S.A.S.,830134857,1
9,1,2022-04-06 18:31:43.910480+00:00,1,900672393,1,1,Palmiplast Industrias,Palmiplast Industrias S.A.S.,900672393,1
10,1,2022-04-22 20:42:04.055205+00:00,1,901063279,1,1,O'Celeste,O'Celeste S.A.S.,901063279,1
11,1,2022-04-19 18:08:06.093562+00:00,1,900346960,1,1,Global Tennis,Global Tennis S.A.S.,900346960,1
12,1,2022-04-22 15:54:51.294035+00:00,1,890930227,1,1,ROR Ingenieria,ROR Ingenieria S.A.S.,890930227,1
13,1,2022-04-22 18:16:52.427163+00:00,1,900570334,1,1,Someda Intagrated,Someda Intagrated S.A.S.,900570334,1
14,1,2022-04-25 20:35:47.623823+00:00,1,900087432,1,1,Granos y Proteinas,Granos y Proteinas S.A.S.,900087432,1
15,1,2022-04-06 18:31:44.594500+00:00,1,800017469,1,1,Comercializadora Omega,Comercializadora Omega LTDA.,800017469,2
16,1,2022-04-22 16:32:40.031529+00:00,1,805018771,1,1,"Ferreteria,Pinturas Y Productos Agropecuarios","Ferreteria,Pinturas Y Productos Agropecuarios LTDA.",805018771,2
17,1,2022-04-06 18:31:44.694839+00:00,1,900206937,1,1,Del Corte Mobiliari,Del Corte Mobiliari S.A.S.,900206937,1
18,1,2022-04-22 20:19:35.811532+00:00,1,900719717,1,1,Universal de Aceros y Trifilados,Universal de Aceros y Trifilados S.A.S.,900719717,1
19,1,2022-04-06 18:31:44.750812+00:00,1,901012767,1,1,Asoboce,Asoboce S.A.S.,901012767,1
20,1,2022-04-28 19:08:29.080111+00:00,1,900244841,1,1,Actividades Textiles,Actividades Textiles S.A.S.,900244841,1
21,1,2022-04-06 18:31:44.819555+00:00,1,890204680,1,1,Representaciones Especiales,Representaciones Especiales LTDA.,890204680,2
