,id,app_label,model
0,1,admin,logentry
1,2,auth,permission
2,3,auth,group
3,4,auth,user
4,5,contenttypes,contenttype
5,6,sessions,session
6,7,people,person
7,8,people,person_legal
8,9,people,person_natural
9,10,people,person_phone
10,11,people,person_legal_person_natural
11,12,people,person_e_mail
12,13,people,person_address
13,14,references,charge_factor
14,15,references,puc
15,16,references,phone
16,17,references,factor_data
17,18,references,e_mail
18,19,references,address
19,20,properties,estate
20,21,properties,realty
21,22,properties,realty_estate
22,23,properties,estate_person
23,24,properties,estate_appraisal
24,25,accounting,account
25,26,accounting,ledger_type
26,27,accounting,ledger_template
27,28,accounting,ledger
28,29,accounting,charge_template
29,30,accounting,charge
30,31,accountables,accountable
31,32,accountables,lease_realty
32,33,accountables,date_value
33,34,accountables,accountable_transaction_type
34,35,accountables,accountable_concept
35,36,accountables,lease_realty_realty
36,37,accountables,lease_realty_person
