,id,app_label,model
0,1,admin,logentry
1,2,auth,permission
2,3,auth,group
3,4,auth,user
4,5,contenttypes,contenttype
5,6,sessions,session
6,7,people,person
7,8,people,person_legal
8,9,people,person_natural
9,10,people,person_phone
10,11,people,person_legal_person_natural
11,12,people,person_e_mail
12,13,people,person_address
13,14,references,charge_factor
14,15,references,transaction_type
15,16,references,puc
16,17,references,phone
17,18,references,factor_data
18,19,references,e_mail
19,20,references,address
20,21,properties,estate
21,22,properties,realty
22,23,properties,realty_estate
23,24,properties,estate_person
24,25,properties,estate_appraisal
25,26,accounting,account
26,27,accounting,ledger_type
27,28,accounting,ledger_template
28,29,accounting,ledger
29,30,accounting,charge_template
30,31,accounting,charge_concept
31,32,accounting,charge
32,33,accountables,accountable
33,34,accountables,lease_realty
34,35,accountables,date_value
35,36,accountables,lease_realty_realty
36,37,accountables,lease_realty_person
