,id,state_change_user_id,state_change_date,state,ledger_id,account_id,value,concept_id,settled
0,1,1,2022-11-23 13:59:06.577943+00:00,1,CA-00000001,13802005,472000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S217^2018-12-01,False
1,2,1,2022-11-23 13:59:06.597151+00:00,1,CA-00000001,913005,-472000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S217^2018-12-01,False
2,3,1,2022-11-23 13:59:06.639127+00:00,1,CA-00000002,13802005,458000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S306^2018-06-01,False
3,4,1,2022-11-23 13:59:06.656666+00:00,1,CA-00000002,913005,-458000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S306^2018-06-01,False
4,5,1,2022-11-23 13:59:06.699655+00:00,1,CA-00000003,13802005,496000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S217^2018-12-01,False
5,6,1,2022-11-23 13:59:06.725352+00:00,1,CA-00000003,913005,-496000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S217^2018-12-01,False
6,7,1,2022-11-23 13:59:06.790920+00:00,1,CA-00000004,13802005,700000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S302^2021-08-01,False
7,8,1,2022-11-23 13:59:06.820450+00:00,1,CA-00000004,913005,-700000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S302^2021-08-01,False
8,9,1,2022-11-23 13:59:06.869782+00:00,1,CA-00000005,13802005,458000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S306^2018-06-01,False
9,10,1,2022-11-23 13:59:06.886835+00:00,1,CA-00000005,913005,-458000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S306^2018-06-01,False
10,11,1,2022-11-23 13:59:06.950782+00:00,1,CA-00000006,13802005,19000,Canon Mensual Arriendo Inmueble^2021-12-01_C18-1N-33^2021-10-01,False
11,12,1,2022-11-23 13:59:06.994434+00:00,1,CA-00000006,913005,-19000,Canon Mensual Arriendo Inmueble^2021-12-01_C18-1N-33^2021-10-01,False
12,13,1,2022-11-23 13:59:07.041009+00:00,1,CA-00000007,13802005,1440000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-37^2012-02-01,False
13,14,1,2022-11-23 13:59:07.062229+00:00,1,CA-00000007,913005,-1440000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-37^2012-02-01,False
14,15,1,2022-11-23 13:59:07.129843+00:00,1,CA-00000008,13802005,2450000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-57^2001-09-01,False
15,16,1,2022-11-23 13:59:07.148408+00:00,1,CA-00000008,913005,-2450000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-57^2001-09-01,False
16,17,1,2022-11-23 13:59:07.193292+00:00,1,CA-00000009,13802005,478000,Canon Mensual Arriendo Inmueble^2021-12-20_A6N-13N-62-S210^2017-03-20,False
17,18,1,2022-11-23 13:59:07.211002+00:00,1,CA-00000009,913005,-478000,Canon Mensual Arriendo Inmueble^2021-12-20_A6N-13N-62-S210^2017-03-20,False
18,19,1,2022-11-23 13:59:07.253511+00:00,1,CA-00000010,13802005,465000,Canon Mensual Arriendo Inmueble^2021-12-21_A6N-13N-62-S209^2006-03-21,False
19,20,1,2022-11-23 13:59:07.271279+00:00,1,CA-00000010,913005,-465000,Canon Mensual Arriendo Inmueble^2021-12-21_A6N-13N-62-S209^2006-03-21,False
20,21,1,2022-11-23 13:59:07.313829+00:00,1,CA-00000011,13802005,1065000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-O1^2015-01-01,False
21,22,1,2022-11-23 13:59:07.332056+00:00,1,CA-00000011,913005,-1065000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-O1^2015-01-01,False
22,23,1,2022-11-23 13:59:07.379727+00:00,1,CA-00000012,13802005,1100000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S101^2021-04-01,False
23,24,1,2022-11-23 13:59:07.398979+00:00,1,CA-00000012,913005,-1100000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S101^2021-04-01,False
24,25,1,2022-11-23 13:59:07.441254+00:00,1,CA-00000013,13802005,940000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S102^2021-10-01,False
25,26,1,2022-11-23 13:59:07.470077+00:00,1,CA-00000013,913005,-940000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S102^2021-10-01,False
26,27,1,2022-11-23 13:59:07.530338+00:00,1,CA-00000014,13802005,790000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S103^2020-06-01,False
27,28,1,2022-11-23 13:59:07.548061+00:00,1,CA-00000014,913005,-790000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S103^2020-06-01,False
28,29,1,2022-11-23 13:59:07.591127+00:00,1,CA-00000015,13802005,840000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S104^2021-08-01,False
29,30,1,2022-11-23 13:59:07.608726+00:00,1,CA-00000015,913005,-840000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S104^2021-08-01,False
30,31,1,2022-11-23 13:59:07.674677+00:00,1,CA-00000016,13802005,850000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S105^2021-09-01,False
31,32,1,2022-11-23 13:59:07.692710+00:00,1,CA-00000016,913005,-850000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S105^2021-09-01,False
32,33,1,2022-11-23 13:59:07.734337+00:00,1,CA-00000017,13802005,638000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S108^2016-12-01,False
33,34,1,2022-11-23 13:59:07.762237+00:00,1,CA-00000017,913005,-638000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S108^2016-12-01,False
34,35,1,2022-11-23 13:59:07.802938+00:00,1,CA-00000018,13802005,450000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S109^2021-07-01,False
35,36,1,2022-11-23 13:59:07.820090+00:00,1,CA-00000018,913005,-450000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S109^2021-07-01,False
36,37,1,2022-11-23 13:59:07.888424+00:00,1,CA-00000019,13802005,530000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S110^2021-09-01,False
37,38,1,2022-11-23 13:59:07.906275+00:00,1,CA-00000019,913005,-530000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S110^2021-09-01,False
38,39,1,2022-11-23 13:59:07.949090+00:00,1,CA-00000020,13802005,700000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S111^2021-04-01,False
39,40,1,2022-11-23 13:59:07.967519+00:00,1,CA-00000020,913005,-700000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S111^2021-04-01,False
40,41,1,2022-11-23 13:59:08.009981+00:00,1,CA-00000021,13802005,560000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S112^2015-04-01,False
41,42,1,2022-11-23 13:59:08.027383+00:00,1,CA-00000021,913005,-560000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S112^2015-04-01,False
42,43,1,2022-11-23 13:59:08.076011+00:00,1,CA-00000022,13802005,530000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S114^2021-09-01,False
43,44,1,2022-11-23 13:59:08.104785+00:00,1,CA-00000022,913005,-530000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S114^2021-09-01,False
44,45,1,2022-11-23 13:59:08.169675+00:00,1,CA-00000023,13802005,830000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S201^2021-10-01,False
45,46,1,2022-11-23 13:59:08.187310+00:00,1,CA-00000023,913005,-830000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S201^2021-10-01,False
46,47,1,2022-11-23 13:59:08.228823+00:00,1,CA-00000024,13802005,700000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S202^2021-10-01,False
47,48,1,2022-11-23 13:59:08.246314+00:00,1,CA-00000024,913005,-700000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S202^2021-10-01,False
48,49,1,2022-11-23 13:59:08.318630+00:00,1,CA-00000025,13802005,620000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S203^2020-10-01,False
49,50,1,2022-11-23 13:59:08.335516+00:00,1,CA-00000025,913005,-620000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S203^2020-10-01,False
50,51,1,2022-11-23 13:59:08.376758+00:00,1,CA-00000026,13802005,650000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S204^2021-09-01,False
51,52,1,2022-11-23 13:59:08.394024+00:00,1,CA-00000026,913005,-650000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S204^2021-09-01,False
52,53,1,2022-11-23 13:59:08.436333+00:00,1,CA-00000027,13802005,750000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S205^2020-08-01,False
53,54,1,2022-11-23 13:59:08.454607+00:00,1,CA-00000027,913005,-750000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S205^2020-08-01,False
54,55,1,2022-11-23 13:59:08.519026+00:00,1,CA-00000028,13802005,485000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S207^2004-03-01,False
55,56,1,2022-11-23 13:59:08.537682+00:00,1,CA-00000028,913005,-485000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S207^2004-03-01,False
56,57,1,2022-11-23 13:59:08.578983+00:00,1,CA-00000029,13802005,390000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S208^2021-10-01,False
57,58,1,2022-11-23 13:59:08.596000+00:00,1,CA-00000029,913005,-390000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S208^2021-10-01,False
58,59,1,2022-11-23 13:59:08.637222+00:00,1,CA-00000030,13802005,467000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S212^2011-09-01,False
59,60,1,2022-11-23 13:59:08.654375+00:00,1,CA-00000030,913005,-467000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S212^2011-09-01,False
60,61,1,2022-11-23 13:59:08.695596+00:00,1,CA-00000031,13802005,467000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S214^2018-10-01,False
61,62,1,2022-11-23 13:59:08.712796+00:00,1,CA-00000031,913005,-467000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S214^2018-10-01,False
62,63,1,2022-11-23 13:59:08.752933+00:00,1,CA-00000032,13802005,496000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S217^2018-12-01,False
63,64,1,2022-11-23 13:59:08.766658+00:00,1,CA-00000032,913005,-496000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S217^2018-12-01,False
64,65,1,2022-11-23 13:59:08.798353+00:00,1,CA-00000033,13802005,830000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S301^2021-08-01,False
65,66,1,2022-11-23 13:59:08.812079+00:00,1,CA-00000033,913005,-830000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S301^2021-08-01,False
