,id,state_change_user_id,state_change_date,state,accountable_id,transaction_type_id,ledger_template_id,date_applicable
0,1,1,2022-12-13 20:52:06.429736+00:00,2,A6N-13N-62-O1^2015-01-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
1,2,1,2022-12-13 20:52:06.429783+00:00,2,A6N-13N-62-S101^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
2,3,1,2022-12-13 20:52:06.429805+00:00,2,A6N-13N-62-S102^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
3,4,1,2022-12-13 20:52:06.429823+00:00,2,A6N-13N-62-S103^2020-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
4,5,1,2022-12-13 20:52:06.429841+00:00,2,A6N-13N-62-S103^2022-05-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-05-01
5,6,1,2022-12-13 20:52:06.429859+00:00,2,A6N-13N-62-S104^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
6,7,1,2022-12-13 20:52:06.429876+00:00,2,A6N-13N-62-S105^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
7,8,1,2022-12-13 20:52:06.429893+00:00,2,A6N-13N-62-S108^2016-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
8,9,1,2022-12-13 20:52:06.429911+00:00,2,A6N-13N-62-S109^2021-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
9,10,1,2022-12-13 20:52:06.429928+00:00,2,A6N-13N-62-S110^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
10,11,1,2022-12-13 20:52:06.429945+00:00,2,A6N-13N-62-S111^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
11,12,1,2022-12-13 20:52:06.429962+00:00,2,A6N-13N-62-S111^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-06-25
12,13,1,2022-12-13 20:52:06.429979+00:00,2,A6N-13N-62-S112^2015-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
13,14,1,2022-12-13 20:52:06.429997+00:00,2,A6N-13N-62-S114^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
14,15,1,2022-12-13 20:52:06.430015+00:00,2,A6N-13N-62-S201^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
15,16,1,2022-12-13 20:52:06.430033+00:00,2,A6N-13N-62-S202^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
16,17,1,2022-12-13 20:52:06.430050+00:00,2,A6N-13N-62-S203^2020-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
17,18,1,2022-12-13 20:52:06.430067+00:00,2,A6N-13N-62-S203^2022-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-04-01
18,19,1,2022-12-13 20:52:06.430084+00:00,2,A6N-13N-62-S204^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
19,20,1,2022-12-13 20:52:06.430101+00:00,2,A6N-13N-62-S205^2020-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
20,21,1,2022-12-13 20:52:06.430118+00:00,2,A6N-13N-62-S207^2004-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
