,id,state_change_user_id,state_change_date,state,ledger_id,account_id,value,concept_id,settled
0,1,1,2022-11-09 12:29:51.412595+00:00,1,CA-00000001,13802005,472000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S217^2018-12-01,False
1,2,1,2022-11-09 12:29:51.434020+00:00,1,CA-00000001,913005,-472000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S217^2018-12-01,False
2,3,1,2022-11-09 12:29:51.480891+00:00,1,CA-00000002,13802005,458000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S306^2018-06-01,False
3,4,1,2022-11-09 12:29:51.500571+00:00,1,CA-00000002,913005,-458000,Canon Mensual Arriendo Inmueble^2021-11-01_A6N-13N-62-S306^2018-06-01,False
4,5,1,2022-11-09 12:29:51.572360+00:00,1,CA-00000003,13802005,496000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S217^2018-12-01,False
5,6,1,2022-11-09 12:29:51.592893+00:00,1,CA-00000003,913005,-496000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S217^2018-12-01,False
6,7,1,2022-11-09 12:29:51.650812+00:00,1,CA-00000004,13802005,700000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S302^2021-08-01,False
7,8,1,2022-11-09 12:29:51.672183+00:00,1,CA-00000004,913005,-700000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S302^2021-08-01,False
8,9,1,2022-11-09 12:29:51.731412+00:00,1,CA-00000005,13802005,458000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S306^2018-06-01,False
9,10,1,2022-11-09 12:29:51.751791+00:00,1,CA-00000005,913005,-458000,Canon Mensual Arriendo Inmueble^2021-12-01_A6N-13N-62-S306^2018-06-01,False
10,11,1,2022-11-09 12:29:51.819209+00:00,1,CA-00000006,13802005,950000,Canon Mensual Arriendo Inmueble^2021-12-01_C18-1N-33^2021-10-01,False
11,12,1,2022-11-09 12:29:51.839124+00:00,1,CA-00000006,913005,-950000,Canon Mensual Arriendo Inmueble^2021-12-01_C18-1N-33^2021-10-01,False
12,13,1,2022-11-09 12:29:51.887020+00:00,1,CA-00000007,13802005,1440000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-37^2012-02-01,False
13,14,1,2022-11-09 12:29:51.906581+00:00,1,CA-00000007,913005,-1440000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-37^2012-02-01,False
14,15,1,2022-11-09 12:29:51.953972+00:00,1,CA-00000008,13802005,2450000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-57^2001-09-01,False
15,16,1,2022-11-09 12:29:51.973724+00:00,1,CA-00000008,913005,-2450000,Canon Mensual Arriendo Inmueble^2021-12-01_K1-17-57^2001-09-01,False
16,17,1,2022-11-09 12:29:52.044508+00:00,1,CA-00000009,13802005,478000,Canon Mensual Arriendo Inmueble^2021-12-20_A6N-13N-62-S210^2017-03-20,False
17,18,1,2022-11-09 12:29:52.064896+00:00,1,CA-00000009,913005,-478000,Canon Mensual Arriendo Inmueble^2021-12-20_A6N-13N-62-S210^2017-03-20,False
18,19,1,2022-11-09 12:29:52.113372+00:00,1,CA-00000010,13802005,465000,Canon Mensual Arriendo Inmueble^2021-12-21_A6N-13N-62-S209^2006-03-21,False
19,20,1,2022-11-09 12:29:52.132815+00:00,1,CA-00000010,913005,-465000,Canon Mensual Arriendo Inmueble^2021-12-21_A6N-13N-62-S209^2006-03-21,False
20,21,1,2022-11-09 12:29:52.203903+00:00,1,CA-00000011,13802005,1065000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-O1^2015-01-01,False
21,22,1,2022-11-09 12:29:52.223129+00:00,1,CA-00000011,913005,-1065000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-O1^2015-01-01,False
22,23,1,2022-11-09 12:29:52.269733+00:00,1,CA-00000012,13802005,1100000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S101^2021-04-01,False
23,24,1,2022-11-09 12:29:52.297895+00:00,1,CA-00000012,913005,-1100000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S101^2021-04-01,False
24,25,1,2022-11-09 12:29:52.370469+00:00,1,CA-00000013,13802005,940000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S102^2021-10-01,False
25,26,1,2022-11-09 12:29:52.389413+00:00,1,CA-00000013,913005,-940000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S102^2021-10-01,False
26,27,1,2022-11-09 12:29:52.437724+00:00,1,CA-00000014,13802005,790000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S103^2020-06-01,False
27,28,1,2022-11-09 12:29:52.457226+00:00,1,CA-00000014,913005,-790000,Canon Mensual Arriendo Inmueble^2022-01-01_A6N-13N-62-S103^2020-06-01,False
