,id,state_change_user_id,state_change_date,state,estate_id,type,date,value
0,1,1,2022-07-14 00:28:36.570877+00:00,1,760010100020700370004000000004,0,2022-01-01,2228713000
1,2,1,2022-07-14 00:28:36.570929+00:00,1,760010100031300020001000000001,0,2022-01-01,1493265000
2,3,1,2022-07-14 00:28:36.570958+00:00,1,760010100040200230001000000001,0,2022-01-01,3183080000
3,4,1,2022-07-14 00:28:36.571018+00:00,1,760010100040200230002000000002,0,2022-01-01,883984000
4,5,1,2022-07-14 00:28:36.571038+00:00,1,760010100040200230003000000003,0,2022-01-01,305800000
5,6,1,2022-07-14 00:28:36.571050+00:00,1,760010100040200230004000000004,0,2022-01-01,305800000
6,7,1,2022-07-14 00:28:36.571060+00:00,1,760010100040200230005000000005,0,2022-01-01,305800000
7,8,1,2022-07-14 00:28:36.571071+00:00,1,760010100040200230006000000006,0,2022-01-01,207944000
8,9,1,2022-07-14 00:28:36.571080+00:00,1,760010100040100050006000000006,0,2022-01-01,209941000
9,10,1,2022-07-14 00:28:36.571090+00:00,1,760010100041700100010000000010,0,2022-01-01,730092000
10,11,1,2022-07-14 00:28:36.571100+00:00,1,760010100020500040007900030133,0,2022-01-01,457624000
11,12,1,2022-07-14 00:28:36.571110+00:00,1,760010100020500040007900030058,0,2022-01-01,7952000
12,13,1,2022-07-14 00:28:36.571119+00:00,1,760010100020500040007900030059,0,2022-01-01,7952000
13,14,1,2022-07-14 00:28:36.571128+00:00,1,760010100020500040007900030091,0,2022-01-01,7952000
14,15,1,2022-07-14 00:28:36.571137+00:00,1,760010100020500040007900030126,0,2022-01-01,3446000
15,16,1,2022-07-14 00:28:36.571146+00:00,1,760010100020300030004900020037,0,2022-01-01,401599000
16,17,1,2022-07-14 00:28:36.571156+00:00,1,760010100020300030004900020032,0,2022-01-01,13915000
