,id,state_change_user_id,state_change_date,state,accountable_id,transaction_type_id,commit_template_id,bill_template_id,receive_template_id
0,2,1,2022-11-02 15:32:15.562233+00:00,2,A6N-13N-62-O1^2015-01-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
1,3,1,2022-11-02 15:32:15.562266+00:00,2,A6N-13N-62-S101^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
2,4,1,2022-11-02 15:32:15.562285+00:00,2,A6N-13N-62-S102^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
3,5,1,2022-11-02 15:32:15.562303+00:00,2,A6N-13N-62-S103^2020-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
4,6,1,2022-11-02 15:32:15.562319+00:00,2,A6N-13N-62-S103^2022-05-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
5,7,1,2022-11-02 15:32:15.562336+00:00,2,A6N-13N-62-S104^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
6,8,1,2022-11-02 15:32:15.562352+00:00,2,A6N-13N-62-S105^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
7,9,1,2022-11-02 15:32:15.562369+00:00,2,A6N-13N-62-S108^2016-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
8,10,1,2022-11-02 15:32:15.562385+00:00,2,A6N-13N-62-S109^2021-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
9,11,1,2022-11-02 15:32:15.562401+00:00,2,A6N-13N-62-S110^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,FV-Canon Mensual Arriendo Inmueble,RC-Canon Mensual Arriendo Inmueble-Efectivo
